,user_id,condition,id_int,puzzle_cnt,phase,chosen_graph,diff,mis_size,prob,vertices,edges,intersects,valid_sols,success,success_fine,cumu_success,cumu_fail,cumu_quickfail,cumu_timeout,cumu_success_avg,cumu_fail_avg,has_success,has_fail,has_timeout,avg_success_diff,avg_fail_diff,avg_timeout_diff,time,clicks,max_is
368,self-det:11,self-det,10,15,train,20,59.94449188727583,7,0.4684,16,29,10,7,False,quick_blunder,4,7,3,3,0.26666666666666666,0.4666666666666667,1,1,1,47.23165613152853,60.445524908817,63.00088535221612,16.481,7,6
369,self-det:13,self-det,12,8,train,162,54.75277828384041,7,0.5489,16,26,7,9,True,success,4,3,0,0,0.5,0.375,1,1,0,68.1803781948273,53.326838302781766,0,34.039,7,7
370,static-inc:15,static-inc,54,6,train,34,49.13197636244255,6,0.4569,13,23,4,3,False,time,3,2,2,0,0.5,0.3333333333333333,1,1,0,56.72644385145917,55.56258723190348,0,86.985,26,5
371,static-inc:15,static-inc,54,7,train,148,51.58524811739718,6,0.5179,14,26,6,6,True,success,3,2,2,1,0.42857142857142855,0.2857142857142857,1,1,1,56.72644385145917,55.56258723190348,49.13197636244255,19.024,6,6
372,self-det:11,self-det,10,16,post-test,304,69.52080344332855,6,0.2788,15,33,17,3,True,success,4,8,4,3,0.25,0.5,1,1,1,47.23165613152853,60.382895781124354,63.00088535221612,85.688,42,6
373,self-det:13,self-det,12,9,train,134,45.229132569558104,5,0.4888,12,23,4,4,False,time,5,3,0,0,0.5555555555555556,0.3333333333333333,1,1,0,65.49485821262992,53.326838302781766,0,90,8,4
374,static-inc:15,static-inc,54,8,train,72,54.265531726730046,6,0.4523,15,26,11,10,True,success,4,2,2,1,0.5,0.25,1,1,1,55.441144917943674,55.56258723190348,49.13197636244255,52.374,12,6
375,self-det:11,self-det,10,17,post-test,302,40.168410805548795,5,0.4109,10,18,2,1,True,success,5,8,4,3,0.29411764705882354,0.47058823529411764,1,1,1,51.689485593888534,60.382895781124354,63.00088535221612,9.517,5,5
376,self-det:11,self-det,10,18,post-test,305,83.61370716510903,7,0.1605,15,25,4,1,True,success,6,8,4,3,0.3333333333333333,0.4444444444444444,1,1,1,49.76930646249858,60.382895781124354,63.00088535221612,19.011,7,7
377,self-det:13,self-det,12,10,train,145,54.761726078799256,6,0.3198,13,23,7,2,True,success,5,3,0,1,0.5,0.3,1,1,1,65.49485821262992,53.326838302781766,45.229132569558104,22.91,6,6
378,self-det:13,self-det,12,11,train,144,45.23361034164358,5,0.5415,11,25,17,2,True,success,6,3,0,1,0.5454545454545454,0.2727272727272727,1,1,1,63.70600285699148,53.326838302781766,45.229132569558104,17.224,5,5
379,static-inc:15,static-inc,54,9,train,175,55.898641588296755,6,0.2871,13,22,3,2,False,blunder,5,2,2,1,0.5555555555555556,0.2222222222222222,1,1,1,55.206022279700946,55.56258723190348,49.13197636244255,69.87,18,5
380,self-det:13,self-det,12,12,train,82,46.02954873936085,5,0.6227,12,26,9,4,False,blunder,7,3,0,1,0.5833333333333334,0.25,1,1,1,61.06708964051321,53.326838302781766,45.229132569558104,21.582,5,3
381,self-det:13,self-det,12,13,train,171,38.899029895070285,5,0.5051,11,18,2,4,True,success,7,4,0,1,0.5384615384615384,0.3076923076923077,1,1,1,61.06708964051321,51.50251591192654,45.229132569558104,68.99,11,5
382,static-inc:15,static-inc,54,10,train,159,58.84938481120068,7,0.4714,16,28,13,10,False,time,5,3,2,1,0.5,0.3,1,1,1,55.206022279700946,55.674605350701235,49.13197636244255,88.776,11,6
383,self-det:13,self-det,12,14,train,10,39.35186002058521,5,0.6801,12,20,6,6,True,success,8,4,0,1,0.5714285714285714,0.2857142857142857,1,1,1,58.29608217233283,51.50251591192654,45.229132569558104,26.165,5,5
384,static-inc:15,static-inc,54,11,train,74,60.96351197263398,7,0.4385,16,29,8,6,True,success,5,3,2,2,0.45454545454545453,0.2727272727272727,1,1,1,55.206022279700946,55.674605350701235,53.99068058682161,33.471,9,7
